date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:26	96400/96400	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:31%20GMT	https://www.tutorialcup.com/dbms/data-dictionary.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-dictionary.html	(from https://www.tutorialcup.com/dbms/)
00:32:27	97942/97942	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:31%20GMT	https://www.tutorialcup.com/dbms/data-dictionary-structure.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-dictionary-structure.html	(from https://www.tutorialcup.com/dbms/)
00:32:27	95613/95613	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:32%20GMT	https://www.tutorialcup.com/dbms/data-dictionary-functions.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/data-dictionary-functions.html	(from https://www.tutorialcup.com/dbms/)
00:32:28	104605/104605	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:32%20GMT	https://www.tutorialcup.com/dbms/indexing.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/indexing.html	(from https://www.tutorialcup.com/dbms/)
00:32:28	112150/112150	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:33%20GMT	https://www.tutorialcup.com/dbms/b-tree.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/b-tree.html	(from https://www.tutorialcup.com/dbms/)
00:32:29	100446/100446	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:33%20GMT	https://www.tutorialcup.com/dbms/multiple-key-access.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/multiple-key-access.html	(from https://www.tutorialcup.com/dbms/)
00:32:29	104650/104650	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:34%20GMT	https://www.tutorialcup.com/dbms/hashing-concepts.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/hashing-concepts.html	(from https://www.tutorialcup.com/dbms/)
00:32:29	102413/102413	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:34%20GMT	https://www.tutorialcup.com/dbms/bitmap-indices.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/bitmap-indices.html	(from https://www.tutorialcup.com/dbms/)
00:32:30	105392/105392	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:34%20GMT	https://www.tutorialcup.com/dbms/database-index.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/database-index.html	(from https://www.tutorialcup.com/dbms/)
00:32:30	93814/93814	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:35%20GMT	https://www.tutorialcup.com/dbms/relational-models.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/relational-models.html	(from https://www.tutorialcup.com/dbms/)
00:32:30	97300/97300	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:35%20GMT	https://www.tutorialcup.com/dbms/keys.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/keys.html	(from https://www.tutorialcup.com/dbms/)
00:32:31	104326/104326	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:35%20GMT	https://www.tutorialcup.com/dbms/constraints.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/constraints.html	(from https://www.tutorialcup.com/dbms/)
00:32:31	98686/98686	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:36%20GMT	https://www.tutorialcup.com/dbms/integrity.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/integrity.html	(from https://www.tutorialcup.com/dbms/)
00:32:32	96948/96948	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:36%20GMT	https://www.tutorialcup.com/dbms/relational-set-operators.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/relational-set-operators.html	(from https://www.tutorialcup.com/dbms/)
00:32:32	100096/100096	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:37%20GMT	https://www.tutorialcup.com/dbms/system-catalog.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/system-catalog.html	(from https://www.tutorialcup.com/dbms/)
00:32:32	106245/106245	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:37%20GMT	https://www.tutorialcup.com/dbms/codds-rule.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/codds-rule.html	(from https://www.tutorialcup.com/dbms/)
00:32:33	128217/128217	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:37%20GMT	https://www.tutorialcup.com/dbms/normalization.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/normalization.html	(from https://www.tutorialcup.com/dbms/)
00:32:33	119057/119057	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:38%20GMT	https://www.tutorialcup.com/dbms/first-normal-form.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/first-normal-form.html	(from https://www.tutorialcup.com/dbms/)
00:32:34	134888/134888	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:38%20GMT	https://www.tutorialcup.com/dbms/second-normal-form.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/second-normal-form.html	(from https://www.tutorialcup.com/dbms/)
00:32:34	128169/128169	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:39%20GMT	https://www.tutorialcup.com/dbms/third-normal-form.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/third-normal-form.html	(from https://www.tutorialcup.com/dbms/)
00:32:34	119541/119541	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:39%20GMT	https://www.tutorialcup.com/dbms/boyce-codd-normal-form.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/boyce-codd-normal-form.html	(from https://www.tutorialcup.com/dbms/)
00:32:35	113632/113632	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202018%2018:32:39%20GMT	https://www.tutorialcup.com/dbms/fourth-normal-form.htm	D:/MIT/SEM-1/304/DBMS_tutorialcup.com/DBMS_tutorialcup.com/www.tutorialcup.com/dbms/fourth-normal-form.html	(from https://www.tutorialcup.com/dbms/)
